name,P2Tfile,stat_after_P2T,tessfile,stat_after_tess,handwritten,notes
,DNE,andy-williams,DNE,andy-williams,pending,pending
California_v_Williams_2001.pdf,DNE,X,DNE,X,pending,pending
Williams_v_Ryan_2010.pdf,usable,*,DNE,*,pending,pending
,DNE,james-wilson,DNE,james-wilson,pending,pending
State_v_Wilson_1992.pdf,usable,*,DNE,*,pending,pending
Wilson_v_Ozmint_2004.pdf,usable,*,DNE,*,pending,pending
,DNE,jiverly-wong,DNE,jiverly-wong,pending,pending
Al-Salihi_v_Gander_Mountain.pdf,usable,*,DNE,*,pending,pending
Civil_Action_Al-Salihi_v_Gander_Mountain.PDF,DNE,X,DNE,X,pending,pending
Wong_Additional_Police_Documents.PDF,bad,OCR,missing,X,pending,weaponslist
Jiverly_Wong_Work_Documents.PDF,DNE,X,DNE,X,pending,pending
Wong_Immigration_Forms.PDF,DNE,X,DNE,X,pending,pending
Jiverly%20Wong%20Suicide%20Note.pdf,DNE,X,DNE,X,pending,pending
wong_suicide_note_1.1.pdf,usable,*,DNE,*,pending,pending
Police_Investigation_Jiverly_Wong.PDF,bad,OCR,missing,pending,pending,pending
,DNE,luke-woodham,DNE,luke-woodham,pending,pending
woodham_writings_1.0.pdf,usable,*,DNE,*,pending,pending
Woodham%20Supreme%20Court%20of%20Mississippi%20NO.%201998-KA-01479-SCT.pdf,usable,*,DNE,*,pending,pending
Woodham%20court.pdf,usable,*,DNE,*,pending,pending
Woodham%20US%20District%20Court%20No.%203-04cv48-HTW-JCS.pdf,usable,*,DNE,*,pending,pending
,DNE,aaron-ybarra,DNE,aaron-ybarra,pending,pending
Ybarra_Mental_Health_2010.pdf,DNE,X,DNE,X,pending,pending
Ybarra_Mental_Health_2012.pdf,DNE,X,DNE,X,pending,pending
Ambrose_Ybarra_Mental_Health_2013.pdf,DNE,X,DNE,X,pending,pending
Washington_v_Ybarra_2014.pdf,DNE,X,DNE,X,pending,pending
Ybarra_journal.pdf,bad,H,DNE,H,*,pending
,DNE,john-zawahri,DNE,john-zawahri,pending,pending
John_Zawahri_Narrative.pdf,bad,OCR,*,*,pending,pending
,DNE,haiyang-zhu,DNE,haiyang-zhu,pending,pending
Zhu_search_warrant.pdf,bad,OCR,*,*,pending,pending
